NCIt Code	SwissProt ID	NCIt Preferred Name
C26348	O75610	Left-Right Determination Factor 1
C26130	O00292	Left-Right Determination Factor 2
C46081	P41159	Leptin
C26349	P48357	Leptin Receptor
C147866	O95214	Leptin Receptor Overlapping Transcript-Like 1
C91768	Q15334	Lethal(2) Giant Larvae Protein Homolog 1
C38572	Q8N6Y2	Leucine Rich Repeat Containing Protein 17
C118979	Q9Y250	Leucine Zipper Putative Tumor Suppressor 1
C26353	O95970	Leucine-Rich Glioma-Inactivated Protein 1
C94744	Q9UFC0	Leucine-Rich Repeat and WD Repeat-Containing Protein 1
C26200	O75325	Leucine-Rich Repeat Neuronal Protein 2
C78156	Q5S007	Leucine-Rich Repeat Serine/Threonine-Protein Kinase 2
C88990	O43300	Leucine-Rich Repeat Transmembrane Neuronal Protein 2
C29581	Q9NZU0	Leucine-Rich Repeat Transmembrane Protein FLRT3
C101486	O75473	Leucine-Rich Repeat-Containing G-Protein Coupled Receptor 5
C118965	Q9HBX8	Leucine-Rich Repeat-Containing G-Protein Coupled Receptor 6
C104619	Q9H756	Leucine-Rich Repeat-Containing Protein 19
C106014	Q14392	Leucine-Rich Repeat-Containing Protein 32
C79769	Q96JA1	Leucine-Rich Repeats and Immunoglobulin-Like Domains Protein 1
C101448	Q6UXM1	Leucine-Rich Repeats and Immunoglobulin-Like Domains Protein 3
C128259	Q8N653	Leucine-Zipper-Like Transcriptional Regulator 1
C126499	P01210	Leu-Enkephalin
C20524	P15018	Leukemia Inhibitory Factor
C26321	P42702	Leukemia Inhibitory Factor Receptor
C26219	O43261	Leukemia-Associated Protein 1
C102769	P11049	Leukocyte Antigen CD37
C124242	Q8NHL6	Leukocyte Immunoglobulin-Like Receptor Subfamily B Member 1
C102795	Q8N423	Leukocyte Immunoglobulin-Like Receptor Subfamily B Member 2
C25795	Q08722	Leukocyte Surface Antigen CD47
C26332	P29376	Leukocyte Tyrosine Kinase Receptor
C101153	P16150	Leukosialin
C116951	P09960	Leukotriene A-4 Hydrolase
C26329	Q15722	Leukotriene B4 Receptor 1
C92529	Q9NZ21	Ligatin
C29923	P48059	LIM and Senescent Cell Antigen-Like-Containing Domain Protein 1
C97606	Q14847	LIM and SH3 Domain Protein 1
C29922	P53667	LIM Domain Kinase 1
C132132	P53671	LIM Domain Kinase 2
C102887	Q86U70	LIM Domain-Binding Protein 1
C105936	O43679	LIM Domain-Binding Protein 2
C29919	Q9UGP4	LIM Domain-Containing Protein 1
C115438	Q96IF1	LIM Domain-Containing Protein Ajuba
C75633	O60663	LIM Homeobox Transcription Factor 1 Beta
C26354	P48742	LIM/Homeobox Protein Lhx1
C26355	P50458	LIM/Homeobox Protein Lhx2
C104958	Q9UBR4	LIM/Homeobox Protein LHX3
C98104	Q969G2	LIM/Homeobox Protein Lhx4
C134608	Q96S06	Lipase Maturation Factor 1
C97609	Q9Y693	Lipoma HMGIC Fusion Partner
C97612	Q93052	Lipoma-Preferred Partner
C105867	P18428	Lipopolysaccharide-Binding Protein
C104616	P06858	Lipoprotein Lipase
C101496	Q86W92	Liprin-Beta-1
C131320	Q96NB1	LisH Domain-Containing Protein FOPNL
C131324	P05451	Lithostathine-1-Alpha
C116036	P23141	Liver Carboxylesterase 1
C106208	P00338	L-Lactate Dehydrogenase A Chain
C106333	Q5K4L6	Long-Chain Fatty Acid Transport Protein 3
C106336	Q6P1M0	Long-Chain Fatty Acid Transport Protein 4
C45914	P33121	Long-Chain-Fatty-Acid-CoA Ligase 1
C97368	O95573	Long-Chain-Fatty-Acid-CoA Ligase 3
C97521	Q9UKU0	Long-Chain-Fatty-Acid-CoA Ligase 6
C112147	P23490	Loricrin
C96902	P06734	Low Affinity Immunoglobulin Epsilon Fc Receptor
C38553	P12318	Low Affinity Immunoglobulin Gamma Fc Region Receptor II-A
C38555	P31994	Low Affinity Immunoglobulin Gamma Fc Region Receptor II-B
C38557	P31995	Low Affinity Immunoglobulin Gamma Fc Region Receptor II-C
C38559	P08637	Low Affinity Immunoglobulin Gamma Fc Region Receptor III-A
C38561	O75015	Low Affinity Immunoglobulin Gamma Fc Region Receptor III-B
C88197	P24666	Low Molecular Weight Phosphotyrosine Protein Phosphatase
C17074	P01130	Low-Density Lipoprotein Receptor
C111834	Q9NZR2	Low-Density Lipoprotein Receptor-Related Protein 1B
C113302	P98164	Low-Density Lipoprotein Receptor-Related Protein 2
C95414	O75197	Low-Density Lipoprotein Receptor-Related Protein 5
C95415	O75581	Low-Density Lipoprotein Receptor-Related Protein 6
C95251	Q14114	Low-Density Lipoprotein Receptor-Related Protein 8
C17512	P14151	L-Selectin
C118988	P51884	Lumican
C132242	Q03405	Ly6/PLAUR Domain-Containing Protein 3
C97289	Q9Y5Y7	Lymphatic Vessel Endothelial Hyaluronic Acid Receptor 1
C104623	P18627	Lymphocyte Activation Gene 3 Protein
C26333	Q16553	Lymphocyte Antigen 6E
C126134	Q17RY6	Lymphocyte Antigen 6K
C26347	Q13094	Lymphocyte Cytosolic Protein 2
C17403	P19256	Lymphocyte Function-Associated Antigen 3
C68715	P33241	Lymphocyte-Specific Protein 1
C80034	Q9UJU2	Lymphoid Enhancer-Binding Factor 1
C20364	P47992	Lymphotactin
C20536	P01374	Lymphotoxin-Alpha
C20530	Q06643	Lymphotoxin-Beta
C124111	P46736	Lys-63-Specific Deubiquitinase BRCC36
C120059	Q8NHM5	Lysine-Specific Demethylase 2B
C134313	Q9Y4C1	Lysine-Specific Demethylase 3A
C148358	Q9H3R0	Lysine-Specific Demethylase 4C
C97597	P29375	Lysine-Specific Demethylase 5A
C13408	Q9UGL1	Lysine-Specific Demethylase 5B
C97600	P41229	Lysine-Specific Demethylase 5C
C96336	O15550	Lysine-Specific Demethylase 6A
C80019	O15054	Lysine-Specific Demethylase 6B
C78143	O60341	Lysine-Specific Histone Demethylase 1A
C102935	Q6UWP7	Lysocardiolipin Acyltransferase 1
C112086	Q9UBY5	Lysophosphatidic Acid Receptor 3
C152060	Q8NF37	Lysophosphatidylcholine Acyltransferase 1
C114573	Q6ZWT7	Lysophospholipid Acyltransferase 2
C88217	Q86VI4	Lysosomal-Associated Transmembrane Protein 4B
C150083	Q13571	Lysosomal-Associated Transmembrane Protein 5
C25970	Q99698	Lysosomal-Trafficking Regulator
C104629	P11279	Lysosome-Associated Membrane Glycoprotein 1
C116024	P13473	Lysosome-Associated Membrane Glycoprotein 2
C26340	Q9UQV4	Lysosome-Associated Membrane Glycoprotein 3
C150278	P61626	Lysozyme C
C95874	Q9Y4K0	Lysyl Oxidase Homolog 2
C20437	P09603	Macrophage Colony-Stimulating Factor 1
C17392	P07333	Macrophage Colony-Stimulating Factor 1 Receptor
C104635	P22897	Macrophage Mannose Receptor 1
C28467	P14174	Macrophage Migration Inhibitory Factor
C112507	P21757	Macrophage Scavenger Receptor Types I and II
C104641	P40121	Macrophage-Capping Protein
C148574	Q2M385	Macrophage-Expressed Gene 1 Protein
C28526	Q04912	Macrophage-Stimulating Protein Receptor
C88923	P34810	Macrosialin
C33994	Q14168	MAGUK p55 Subfamily Member 2
C33995	Q13368	MAGUK p55 Subfamily Member 3
C104632	Q95460	Major Histocompatibility Complex Class I-Related Gene Protein
C71456	P04156	Major Prion Protein
C104704	Q14764	Major Vault Protein
C124985	P40926	Malate Dehydrogenase, Mitochondrial
C33941	Q9Y4C4	Malignant Fibrous Histiocytoma-Amplified Sequence 1
C33913	Q9ULC4	Malignant T Cell Amplified Sequence 1
C113521	Q13296	Mammaglobin-A
C68581	P11226	Mannose-Binding Protein C
C114359	P49137	MAP Kinase-Activated Protein Kinase 2
C113083	Q8IW41	MAP Kinase-Activated Protein Kinase 5
C26479	Q8WXG6	MAP Kinase-Activating Death Domain Protein
C33991	Q9BUB5	MAP Kinase-Interacting Serine/Threonine-Protein Kinase 1
C91866	Q9HBH9	MAP Kinase-Interacting Serine/Threonine-Protein Kinase 2
C114393	Q96L34	MAP/Microtubule Affinity-Regulating Kinase 4
C29759	Q9UQ07	MAPK/MAK/MRK Overlapping Kinase
C124965	Q96LB1	Mas-Related G-Protein Coupled Receptor Member X2
C17328	P10721	Mast/Stem Cell Growth Factor Receptor Kit
C114487	Q92585	Mastermind-Like Protein 1
C95459	Q8IZL2	Mastermind-Like Protein 2
C117096	Q96JK9	Mastermind-Like Protein 3
C134700	Q14680	Maternal Embryonic Leucine Zipper Kinase
C98113	P09237	Matrilysin
C88993	P43243	Matrin-3
C33942	P08493	Matrix Gla Protein
C41050	P50281	Matrix Metalloproteinase-14
C122075	P51512	Matrix Metalloproteinase-16
C17575	P14780	Matrix Metalloproteinase-9
C115379	Q9NR99	Matrix-Remodeling-Associated Protein 5
C28627	Q05195	MAX Dimerization Protein 1
C115318	Q8IWI9	MAX Gene-Associated Protein
C28556	P50539	MAX-Interacting Protein 1
C111976	Q05BQ5	MBT Domain-Containing Protein 1
C17407	Q03112	MDS1 and EVI1 Complex Locus Protein EVI1
C104644	Q14676	Mediator of DNA Damage Checkpoint Protein 1
C18286	Q15648	Mediator of RNA Polymerase II Transcription Subunit 1
C98212	Q93074	Mediator of RNA Polymerase II Transcription Subunit 12
C28686	O60244	Mediator of RNA Polymerase II Transcription Subunit 14
C28689	Q9NVC6	Mediator of RNA Polymerase II Transcription Subunit 17
C28688	Q9ULK4	Mediator of RNA Polymerase II Transcription Subunit 23
C30026	O75448	Mediator of RNA Polymerase II Transcription Subunit 24
C28690	O95402	Mediator of RNA Polymerase II Transcription Subunit 26
C28691	Q6P2C8	Mediator of RNA Polymerase II Transcription Subunit 27
C33940	O75586	Mediator of RNA Polymerase II Transcription Subunit 6
C28692	O43513	Mediator of RNA Polymerase II Transcription Subunit 7
C82877	P11310	Medium-Chain Specific Acyl-CoA Dehydrogenase, Mitochondrial
C33988	P42679	Megakaryocyte-Associated Tyrosine-Protein Kinase
C128317	Q13421	Megakaryocyte-Potentiating Factor
C21409	Q9Y5K1	Meiotic Recombination Protein SPO11
C131300	P32245	Melanocortin Receptor 4
C41037	P40967	Melanocyte Protein PMEL
C48827	Q01726	Melanocyte-Stimulating Hormone Receptor
C127930	P78395	Melanoma Antigen Preferentially Expressed in Tumors
C33992	Q16655	Melanoma Antigen Recognized by T-Cells 1
C104511	P43355	Melanoma-Associated Antigen 1
C104498	P43363	Melanoma-Associated Antigen 10
C91338	P43364	Melanoma-Associated Antigen 11
C41053	P43365	Melanoma-Associated Antigen 12
C104501	P43356	Melanoma-Associated Antigen 2
C17513	P43357	Melanoma-Associated Antigen 3
C104515	P43358	Melanoma-Associated Antigen 4
C104519	P43360	Melanoma-Associated Antigen 6
C104523	Q96M61	Melanoma-Associated Antigen B18
C107428	O15479	Melanoma-Associated Antigen B2
C104526	O60732	Melanoma-Associated Antigen C1
C104529	Q9UBF1	Melanoma-Associated Antigen C2
C26484	Q9Y5V3	Melanoma-Associated Antigen D1
C98126	Q16674	Melanoma-Derived Growth Regulatory Protein
C152013	Q9BV36	Melanophilin
C114797	P01189	Melanotropin Alpha
C79764	P49286	Melatonin Receptor Type 1B
C126979	P15529	Membrane Cofactor Protein
C148003	P51811	Membrane Transport Protein XK
C28718	Q96QZ7	Membrane-Associated Guanylate Kinase, WW and PDZ Domain-Containing Protein 1
C95814	Q86UL8	Membrane-Associated Guanylate Kinase, WW and PDZ Domain-Containing Protein 2
C134155	Q5TCQ9	Membrane-Associated Guanylate Kinase, WW and PDZ Domain-Containing Protein 3
C128475	O00264	Membrane-Associated Progesterone Receptor Component 1
C124236	Q9UMX9	Membrane-Associated Transporter Protein
C18051	O00255	Menin
C17797	P35240	Merlin
C21337	P55145	Mesencephalic Astrocyte-Derived Neurotrophic Factor
C20887	Q13421	Mesothelin
C127878	Q96KJ4	Mesothelin-Like Protein
C26239	Q13255	Metabotropic Glutamate Receptor 1
C114528	Q14416	Metabotropic Glutamate Receptor 2
C114531	Q14832	Metabotropic Glutamate Receptor 3
C114534	Q14833	Metabotropic Glutamate Receptor 4
C26241	P41594	Metabotropic Glutamate Receptor 5
C26243	O15303	Metabotropic Glutamate Receptor 6
C114537	Q14831	Metabotropic Glutamate Receptor 7
C114540	O00222	Metabotropic Glutamate Receptor 8
C17543	P01033	Metalloproteinase Inhibitor 1
C17542	P16035	Metalloproteinase Inhibitor 2
C17681	P35625	Metalloproteinase Inhibitor 3
C124088	Q99727	Metalloproteinase Inhibitor 4
C106003	Q9UHE8	Metalloreductase STEAP1
C105400	P13640	Metallothionein-1G
C30075	P25713	Metallothionein-3
C106605	Q6ZN28	Metastasis-Associated in Colon Cancer Protein 1
C92517	Q13330	Metastasis-Associated Protein MTA1
C92690	O94776	Metastasis-Associated Protein MTA2
C21141	Q15726	Metastasis-Suppressor KiSS-1
C29745	Q15726	Metastin
C126497	P01210	Met-Enkephalin
C143021	P50579	Methionine Aminopeptidase 2
C104949	Q99707	Methionine Synthase
C105128	Q9UBK8	Methionine Synthase Reductase
C17315	P16455	Methylated-DNA-Protein-Cysteine Methyltransferase
C148504	Q9UIS9	Methyl-CpG-Binding Domain Protein 1
C94736	O95983	Methyl-CpG-Binding Domain Protein 3
C106168	O95243	Methyl-CpG-Binding Domain Protein 4
C75729	P51608	Methyl-CpG-Binding Protein 2
C95425	Q8NFU7	Methylcytosine Dioxygenase TET1
C95254	Q6N021	Methylcytosine Dioxygenase TET2
C17311	P42898	Methylenetetrahydrofolate Reductase
C20950	Q13825	Methylglutaconyl-CoA Hydratase, Mitochondrial
C74467	Q9H3L0	Methylmalonic Aciduria and Homocystinuria Type D Protein, Mitochondrial
C126961	Q29983	MHC Class I Polypeptide-Related Sequence A
C104650	Q29980	MHC Class I Polypeptide-Related Sequence B
C96015	P33076	MHC Class II Transactivator
C114570	Q8NEM0	Microcephalin
C70586	O75030	Microphthalmia-Associated Transcription Factor
C92665	Q8WYQ5	Microprocessor Complex Subunit DGCR8
C107112	Q99735	Microsomal Glutathione S-Transferase 2
C116416	P55157	Microsomal Triglyceride Transfer Protein Large Subunit
C125216	P11137	Microtubule-Associated Protein 2
C104638	P27816	Microtubule-Associated Protein 4
C26380	Q15691	Microtubule-Associated Protein RP/EB Family Member 1
C75652	Q5CZI7	Microtubule-Associated Protein Tau
C104613	Q9H492	Microtubule-Associated Proteins 1A/1B Light Chain 3A
C116660	Q9GZQ8	Microtubule-Associated Proteins 1A/1B Light Chain 3B
C116663	Q9BXW4	Microtubule-Associated Proteins 1A/1B Light Chain 3C
C101457	Q9Y2H9	Microtubule-Associated Serine/Threonine-Protein Kinase 1
C101460	Q6P0Q8	Microtubule-Associated Serine/Threonine-Protein Kinase 2
C26381	P21741	Midkine
C17312	P08235	Mineralocorticoid Receptor
C21479	P54278	Mismatch Repair Endonuclease PMS2
C112494	P25874	Mitochondrial Brown Fat Uncoupling Protein 1
C102900	Q9Y6C9	Mitochondrial Carrier Homolog 2
C118209	Q15388	Mitochondrial Import Receptor Subunit TOM20 Homolog
C128262	A0A0C5B5G6	Mitochondrial-Derived Peptide MOTS-c
C113229	O95140	Mitofusin-2
C17589	P28482	Mitogen-Activated Protein Kinase 1
C26365	P53779	Mitogen-Activated Protein Kinase 10
C26364	Q15759	Mitogen-Activated Protein Kinase 11
C26367	P53778	Mitogen-Activated Protein Kinase 12
C26368	O15264	Mitogen-Activated Protein Kinase 13
C26369	Q16539	Mitogen-Activated Protein Kinase 14
C131561	Q8TD08	Mitogen-Activated Protein Kinase 15
C17408	P27361	Mitogen-Activated Protein Kinase 3
C26370	P31152	Mitogen-Activated Protein Kinase 4
C26371	Q16659	Mitogen-Activated Protein Kinase 6
C26378	Q13164	Mitogen-Activated Protein Kinase 7
C17780	P45983	Mitogen-Activated Protein Kinase 8
C26379	P45984	Mitogen-Activated Protein Kinase 9
C26486	Q13233	Mitogen-Activated Protein Kinase Kinase Kinase 1
C102525	O43283	Mitogen-Activated Protein Kinase Kinase Kinase 13
C26487	Q99558	Mitogen-Activated Protein Kinase Kinase Kinase 14
C125114	Q99759	Mitogen-Activated Protein Kinase Kinase Kinase 3
C147957	Q9Y6R4	Mitogen-Activated Protein Kinase Kinase Kinase 4
C106623	Q99683	Mitogen-Activated Protein Kinase Kinase Kinase 5
C26488	O43318	Mitogen-Activated Protein Kinase Kinase Kinase 7
C20585	P41279	Mitogen-Activated Protein Kinase Kinase Kinase 8
C150080	Q92918	Mitogen-Activated Protein Kinase Kinase Kinase Kinase 1
C116307	Q8IVH8	Mitogen-Activated Protein Kinase Kinase Kinase Kinase 3
C26490	O95819	Mitogen-Activated Protein Kinase Kinase Kinase Kinase 4
C21495	O43683	Mitotic Checkpoint Serine/Threonine-Protein Kinase BUB1
C95594	O60566	Mitotic Checkpoint Serine/Threonine-Protein Kinase BUB1 Beta
C105849	Q13257	Mitotic Spindle Assembly Checkpoint Protein MAD2A
C116592	Q9UI95	Mitotic Spindle Assembly Checkpoint Protein MAD2B
C134711	Q8NB16	Mixed Lineage Kinase Domain-Like Protein
C97298	Q969V6	MKL/Myocardin-Like Protein 1
C142161	Q9ULH7	MKL/Myocardin-Like Protein 2
C97623	P26038	Moesin
C118547	Q8N2K0	Monoacylglycerol Lipase ABHD12
C82857	Q9UQD1	Mono-ADP-Ribosyltransferase Sirtuin-6
C107462	P53985	Monocarboxylate Transporter 1
C115025	Q8NCK7	Monocarboxylate Transporter 11
C134627	O95907	Monocarboxylate Transporter 3
C124126	O15427	Monocarboxylate Transporter 4
C107465	O15374	Monocarboxylate Transporter 5
C17488	P08571	Monocyte Differentiation Antigen CD14
C92695	Q6UB35	Monofunctional C1-Tetrahydrofolate Synthase, Mitochondrial
C125577	Q9Y6X9	MORC Family CW-Type Zinc Finger Protein 2
C113142	Q14149	MORC Family CW-Type Zinc Finger Protein 3
C106613	Q15797	Mothers Against Decapentaplegic Homolog 1
C26480	Q15796	Mothers Against Decapentaplegic Homolog 2
C18034	P84022	Mothers Against Decapentaplegic Homolog 3
C17982	Q13485	Mothers Against Decapentaplegic Homolog 4
C118587	Q99717	Mothers Against Decapentaplegic Homolog 5
C26481	O43541	Mothers Against Decapentaplegic Homolog 6
C26482	O15105	Mothers Against Decapentaplegic Homolog 7
C97561	P50219	Motor Neuron and Pancreas Homeobox Protein 1
C20961	P30304	M-Phase Inducer Phosphatase 1
C104838	P30305	M-Phase Inducer Phosphatase 2
C104136	P30307	M-Phase Inducer Phosphatase 3
C115312	Q96T58	Msx2-Interacting Protein
C38967	P15941	Mucin-1
C71020	Q8WXI7	Mucin-16
C115187	Q02817	Mucin-2
C128856	Q99102	Mucin-4
C90334	Q8WWQ3	Mucin-5AC
C21532	Q96DR8	Mucin-Like Protein 1
C60673	Q9UDY8	Mucosa-Associated Lymphoid Tissue Lymphoma Translocation Protein 1
C122914	Q13477	Mucosal Addressin Cell Adhesion Molecule 1
C101737	P03971	Muellerian-Inhibiting Factor
C113566	Q96FL8	Multidrug and Toxin Extrusion Protein 1
C113569	Q86VL8	Multidrug and Toxin Extrusion Protein 2
C17746	P08183	Multidrug Resistance Protein 1
C123864	P21439	Multidrug Resistance Protein 3
C17682	P33527	Multidrug Resistance-Associated Protein 1
C103881	O15439	Multidrug Resistance-Associated Protein 4
C103951	O15440	Multidrug Resistance-Associated Protein 5
C116948	O95255	Multidrug Resistance-Associated Protein 6
C115184	Q13201	Multimerin-1
C20965	P11229	Muscarinic Acetylcholine Receptor M1
C20967	P20309	Muscarinic Acetylcholine Receptor M3
C25921	P08173	Muscarinic Acetylcholine Receptor M4
C20969	P08912	Muscarinic Acetylcholine Receptor M5
C28528	O15146	Muscle, Skeletal Receptor Tyrosine-Protein Kinase
C28522	O60682	Musculin
C21403	O15457	MutS Protein Homolog 4
C118985	P35372	Mu-Type Opioid Receptor
C17320	P10242	Myb Oncogene Protein
C140179	Q6ZTZ1	Myb/SANT-Like DNA-Binding Domain-Containing Protein 1
C33957	Q9BQG0	Myb-Binding Protein 1A
C17810	P10243	Myb-Related Protein A
C17401	P10244	Myb-Related Protein B
C28720	O00499	MYC Box-Dependent-Interacting Protein 1
C17391	P01106	Myc Proto-Oncogene Protein
C127025	P02686	Myelin Basic Protein
C131267	P02689	Myelin P2 Protein
C33951	O95297	Myelin Protein Zero-Like 1
C75899	P60201	Myelin Proteolipid Protein
C82899	Q9UL68	Myelin Transcription Factor 1-Like Protein
C142152	P20916	Myelin-Associated Glycoprotein
C17548	P24158	Myeloblastin
C97617	Q8NDY4	Myelodysplastic Syndrome 2 Translocation-Associated Protein
C97246	P20138	Myeloid Cell Surface Antigen CD33
C90100	Q99836	Myeloid Differentiation Primary Response Protein Myd88
C97652	P58340	Myeloid Leukemia Factor 1
C71145	P05164	Myeloperoxidase
C93115	P15172	Myoblast Determination Protein 1
C115975	Q8IZQ8	Myocardin
C92156	Q02078	Myocyte-Specific Enhancer Factor 2A
C92159	Q02080	Myocyte-Specific Enhancer Factor 2B
C92163	Q06413	Myocyte-Specific Enhancer Factor 2C
C92167	Q14814	Myocyte-Specific Enhancer Factor 2D
C94704	P15173	Myogenin
C97720	Q5VU43	Myomegalin
C30086	Q15746	Myosin Light Chain Kinase, Smooth Muscle
C114733	Q6WCQ1	Myosin Phosphatase Rho-Interacting Protein
C112132	P12882	Myosin-1
C30084	P35749	Myosin-11
C112135	Q9UKX2	Myosin-2
C97649	P35579	Myosin-9
C138125	Q14896	Myosin-Binding Protein C, Cardiac-Type
C122755	P29966	Myristoylated Alanine-Rich C-Kinase Substrate
C114324	Q5T2W1	Na(+)/H(+) Exchange Regulatory Cofactor NHE-RF3
C104541	Q9C000	NACHT, LRR and PYD Domains-Containing Protein 1
C111921	Q9NX02	NACHT, LRR and PYD Domains-Containing Protein 2
C77204	Q8TEU9	NACHT, LRR and PYD Domains-Containing Protein 3
C111918	Q96MN2	NACHT, LRR and PYD Domains-Containing Protein 4
C101308	P59044	NACHT, LRR and PYD Domains-Containing Protein 6
C17936	P15559	NAD(P)H Dehydrogenase [Quinone] 1
C106644	Q8NCW5	NAD(P)H-Hydrate Epimerase
C101564	Q8IXJ6	NAD-Dependent Deacetylase Sirtuin-2
C95591	Q9NTG7	NAD-Dependent Deacetylase Sirtuin-3, Mitochondrial
C80115	Q96EB6	NAD-Dependent Protein Deacetylase Sirtuin-1
C102772	Q9NRC8	NAD-Dependent Protein Deacetylase Sirtuin-7
C75735	P49821	NADH Dehydrogenase [Ubiquinone] Flavoprotein 1, Mitochondrial
C127141	P48163	NADP-Dependent Malic Enzyme
C104572	Q9NPH5	NADPH Oxidase 4
C16890	P16435	NADPH-Cytochrome P450 Reductase
C33979	Q9UHB4	NADPH-Dependent Diflavin Oxidoreductase 1
C95852	P41227	N-Alpha-Acetyltransferase 10, NatA Catalytic Subunit
C104841	P60323	Nanos Homolog 3
C97655	Q13765	Nascent Polypeptide-Associated Complex Subunit Alpha
C139910	P01160	Natriuretic Peptides A
C88522	P16860	Natriuretic Peptides B
C129060	O76036	Natural Cytotoxicity Triggering Receptor 1
C104546	O95944	Natural Cytotoxicity Triggering Receptor 2
C104550	O14931	Natural Cytotoxicity Triggering Receptor 3
C118530	Q68D85	Natural Cytotoxicity Triggering Receptor 3 Ligand 1
C104070	Q9BZW8	Natural Killer Cell Receptor 2B4
C26478	Q13241	Natural Killer Cells Antigen CD94
C97444	P15882	N-Chimaerin
C138142	Q9Y2A7	Nck-Associated Protein 1
C97435	Q9NZQ3	NCK-Interacting Protein with SH3 Domain
C33964	P40205	N-cym Protein
C107136	Q99608	Necdin
C118614	Q15223	Nectin-1
C142202	Q92692	Nectin-2
C134483	Q96NY8	Nectin-4
C147869	Q86UW6	NEDD4-Binding Protein 2
C98119	Q9H0M0	NEDD4-Like E3 Ubiquitin-Protein Ligase WWP1
C95564	O00308	NEDD4-Like E3 Ubiquitin-Protein Ligase WWP2
C95849	Q15843	NEDD8
C95858	Q8TBC4	NEDD8-Activating Enzyme E1 Catalytic Subunit
C95855	Q13564	NEDD8-Activating Enzyme E1 Regulatory Subunit
C75440	Q9H3P2	Negative Elongation Factor A
C126576	Q8WX92	Negative Elongation Factor B
C105099	Q8IXH7	Negative Elongation Factor C/D
C140314	P18615	Negative Elongation Factor E
C33999	Q92859	Neogenin
C75863	O15259	Nephrocystin-1
C16836	P08473	Neprilysin
C150329	Q8NF91	Nesprin-1
C120062	Q8WXH0	Nesprin-2
C104562	P48681	Nestin
C17908	P43146	Netrin Receptor DCC
C33982	O95631	Netrin-1
C102457	Q9Y2I2	Netrin-G1
C25276	P13591	Neural Cell Adhesion Molecule 1
C90039	O15394	Neural Cell Adhesion Molecule 2
C112138	P32004	Neural Cell Adhesion Molecule L1
C113226	O00401	Neural Wiskott-Aldrich Syndrome Protein
C18165	Q02297	Neuregulin-1
C18175	O14511	Neuregulin-2
C18180	P56975	Neuregulin-3
C82882	Q9ULB1	Neurexin-1
C82883	P58400	Neurexin-1-Beta
C124915	Q9P2S2	Neurexin-2
C124916	P58401	Neurexin-2-Beta
C113539	Q9Y4C0	Neurexin-3
C126711	Q9HDB5	Neurexin-3-Beta
C143077	Q8NFP9	Neurobeachin
C17791	P41271	Neuroblastoma Suppressor of Tumorigenicity 1
C33961	A2RRP1	Neuroblastoma-Amplified Sequence
C127854	P29120	Neuroendocrine Convertase 1
C126520	O95467	Neuroendocrine Secretory Protein 55
C17412	P21359	Neurofibromin
C88040	P12036	Neurofilament Heavy Polypeptide
C88043	P07196	Neurofilament Light Polypeptide
C88047	P07197	Neurofilament Medium Polypeptide
C98202	Q13562	Neurogenic Differentiation Factor 1
C33976	P46531	Neurogenic Locus Notch Homolog Protein 1
C97679	Q04721	Neurogenic Locus Notch Homolog Protein 2
C106438	Q9UM47	Neurogenic Locus Notch Homolog Protein 3
C18054	Q99466	Neurogenic Locus Notch Homolog Protein 4
C105861	Q92886	Neurogenin-1
C75747	Q8N0W4	Neuroligin 4, X-Linked
C126491	P30990	Neuromedin N
C139916	P08949	Neuromedin-B
C139915	P08949	Neuromedin-B Precursor
C28564	P28336	Neuromedin-B Receptor
C113251	P07492	Neuromedin-C
C30057	P29371	Neuromedin-K Receptor
C33975	P48645	Neuromedin-U
C77125	P32297	Neuronal Acetylcholine Receptor Subunit Alpha-3
C77127	P30532	Neuronal Acetylcholine Receptor Subunit Alpha-5
C77126	P30926	Neuronal Acetylcholine Receptor Subunit Beta-4
C34001	Q92823	Neuronal Cell Adhesion Molecule
C75322	O43602	Neuronal Migration Protein Doublecortin
C26356	P84074	Neuron-Specific Calcium-Binding Protein Hippocalcin
C685	P01303	Neuropeptide Y
C105406	P25929	Neuropeptide Y Receptor Type 1
C105410	P49146	Neuropeptide Y Receptor Type 2
C105413	Q15761	Neuropeptide Y Receptor Type 5
C33981	O14786	Neuropilin-1
C74470	O60462	Neuropilin-2
C126490	P30990	Neurotensin
C126488	P30990	Neurotensin/Neuromedin N
C34002	P20783	Neurotrophin-3
C28466	Q99748	Neurturin
C105060	P43007	Neutral Amino Acid Transporter A
C118927	Q15758	Neutral Amino Acid Transporter B(0)
C94690	Q07837	Neutral and Basic Amino Acid Transport Protein rBAT
C103904	Q9NR71	Neutral Ceramidase
C41046	P22894	Neutrophil Collagenase
C104565	P19878	Neutrophil Cytosolic Factor 2
C104198	P08246	Neutrophil Elastase
C71452	P80188	Neutrophil Gelatinase-Associated Lipocalin
C26614	P02775	Neutrophil-Activating Peptide 2
C75609	Q9Y6K9	NF-Kappa-B Essential Modulator
C17678	P25963	NF-Kappa-B Inhibitor Alpha
C38395	Q15653	NF-Kappa-B Inhibitor Beta
C150062	Q8NI38	NF-Kappa-B Inhibitor Delta
C38397	O00221	NF-Kappa-B Inhibitor Epsilon
C150036	Q9BYH8	NF-Kappa-B Inhibitor Zeta
C122905	Q15742	NGFI-A-Binding Protein 2
C21475	O15527	N-Glycosylase/DNA Lyase
C21171	O60934	Nibrin
